DateTime, Sensor, Temperature (Celcius), Relative Humidity (%)
2017-07-25 00:00:21 +0800, HTU21D, 28.598917, 76.737411
2017-07-25 00:00:51 +0800, HTU21D, 28.605352, 76.247047
2017-07-25 00:01:22 +0800, HTU21D, 28.556015, 76.125198
2017-07-25 00:01:52 +0800, HTU21D, 28.491665, 75.998062
2017-07-25 00:02:22 +0800, HTU21D, 28.472361, 75.848671
2017-07-25 00:02:53 +0800, HTU21D, 28.470215, 75.491295
2017-07-25 00:03:23 +0800, HTU21D, 28.450909, 75.114555
2017-07-25 00:03:53 +0800, HTU21D, 28.470219, 74.702415
2017-07-25 00:04:24 +0800, HTU21D, 28.500244, 74.034012
2017-07-25 00:04:54 +0800, HTU21D, 28.504536, 73.457870
2017-07-25 00:05:24 +0800, HTU21D, 28.491665, 73.191971
2017-07-25 00:05:55 +0800, HTU21D, 28.463781, 72.759010
2017-07-25 00:06:25 +0800, HTU21D, 28.453054, 72.516312
2017-07-25 00:06:55 +0800, HTU21D, 28.427317, 73.313530
2017-07-25 00:07:26 +0800, HTU21D, 28.444477, 74.631424
2017-07-25 00:07:56 +0800, HTU21D, 28.513117, 75.165085
2017-07-25 00:08:26 +0800, HTU21D, 28.601063, 75.718445
2017-07-25 00:08:57 +0800, HTU21D, 28.646107, 76.591896
2017-07-25 00:09:27 +0800, HTU21D, 28.710459, 77.085258
2017-07-25 00:09:57 +0800, HTU21D, 28.787680, 77.569862
2017-07-25 00:10:28 +0800, HTU21D, 28.875626, 77.966049
2017-07-25 00:10:58 +0800, HTU21D, 28.931396, 78.361984
2017-07-25 00:11:28 +0800, HTU21D, 28.952845, 79.155617
2017-07-25 00:11:59 +0800, HTU21D, 28.982876, 79.340172
2017-07-25 00:12:29 +0800, HTU21D, 28.985020, 79.309975
2017-07-25 00:12:59 +0800, HTU21D, 28.946411, 79.485764
2017-07-25 00:13:30 +0800, HTU21D, 28.942120, 79.663651
2017-07-25 00:14:00 +0800, HTU21D, 28.924961, 80.054749
2017-07-25 00:14:30 +0800, HTU21D, 28.920673, 80.260094
2017-07-25 00:15:01 +0800, HTU21D, 28.920673, 80.321129
2017-07-25 00:15:31 +0800, HTU21D, 28.954990, 80.100449
2017-07-25 00:16:01 +0800, HTU21D, 28.963568, 80.011703
2017-07-25 00:16:32 +0800, HTU21D, 28.954990, 79.900558
2017-07-25 00:17:02 +0800, HTU21D, 28.961422, 79.845062
2017-07-25 00:17:32 +0800, HTU21D, 28.909946, 79.922798
2017-07-25 00:18:03 +0800, HTU21D, 28.907801, 79.821770
2017-07-25 00:18:33 +0800, HTU21D, 28.916382, 79.742180
2017-07-25 00:19:03 +0800, HTU21D, 28.864899, 79.789391
2017-07-25 00:19:34 +0800, HTU21D, 28.847742, 79.831070
2017-07-25 00:20:04 +0800, HTU21D, 28.873480, 79.598412
2017-07-25 00:20:35 +0800, HTU21D, 28.892786, 79.444138
2017-07-25 00:21:05 +0800, HTU21D, 28.837015, 79.502922
2017-07-25 00:21:35 +0800, HTU21D, 28.798405, 79.570374
2017-07-25 00:22:06 +0800, HTU21D, 28.753357, 79.485794
2017-07-25 00:22:36 +0800, HTU21D, 28.712605, 79.357605
2017-07-25 00:23:06 +0800, HTU21D, 28.716894, 79.118690
2017-07-25 00:23:37 +0800, HTU21D, 28.738342, 78.856400
2017-07-25 00:24:07 +0800, HTU21D, 28.751215, 78.629456
2017-07-25 00:24:37 +0800, HTU21D, 28.768375, 78.296341
2017-07-25 00:25:08 +0800, HTU21D, 28.725473, 78.279221
2017-07-25 00:25:38 +0800, HTU21D, 28.693295, 78.220993
2017-07-25 00:26:08 +0800, HTU21D, 28.669703, 78.162521
2017-07-25 00:26:39 +0800, HTU21D, 28.680429, 77.826904
2017-07-25 00:27:09 +0800, HTU21D, 28.652542, 77.738800
2017-07-25 00:27:39 +0800, HTU21D, 28.631092, 77.566208
2017-07-25 00:28:10 +0800, HTU21D, 28.622513, 77.352829
2017-07-25 00:28:40 +0800, HTU21D, 28.605352, 77.080170
2017-07-25 00:29:10 +0800, HTU21D, 28.577465, 76.850159
2017-07-25 00:29:41 +0800, HTU21D, 28.545292, 76.497421
2017-07-25 00:30:11 +0800, HTU21D, 28.504536, 76.347885
2017-07-25 00:30:41 +0800, HTU21D, 28.480942, 76.075790
2017-07-25 00:31:12 +0800, HTU21D, 28.489521, 75.570488
2017-07-25 00:31:42 +0800, HTU21D, 28.470215, 75.129654
2017-07-25 00:32:12 +0800, HTU21D, 28.429462, 74.827530
2017-07-25 00:32:43 +0800, HTU21D, 28.414448, 74.323257
2017-07-25 00:33:13 +0800, HTU21D, 28.408010, 74.104103
2017-07-25 00:33:43 +0800, HTU21D, 28.427313, 73.382202
2017-07-25 00:34:14 +0800, HTU21D, 28.386560, 73.174667
2017-07-25 00:34:44 +0800, HTU21D, 28.373692, 73.679337
2017-07-25 00:35:14 +0800, HTU21D, 28.392996, 75.031105
2017-07-25 00:35:45 +0800, HTU21D, 28.476650, 75.615860
2017-07-25 00:36:15 +0800, HTU21D, 28.588192, 75.960655
2017-07-25 00:36:45 +0800, HTU21D, 28.661123, 76.536163
2017-07-25 00:37:16 +0800, HTU21D, 28.680426, 77.604134
2017-07-25 00:37:46 +0800, HTU21D, 28.740488, 78.067848
2017-07-25 00:38:16 +0800, HTU21D, 28.824142, 78.313858
2017-07-25 00:38:47 +0800, HTU21D, 28.879917, 78.889847
2017-07-25 00:39:17 +0800, HTU21D, 28.890640, 79.704750
2017-07-25 00:39:47 +0800, HTU21D, 28.929251, 79.945526
2017-07-25 00:40:18 +0800, HTU21D, 29.006470, 80.309593
2017-07-25 00:40:48 +0800, HTU21D, 29.045080, 80.196365
2017-07-25 00:41:18 +0800, HTU21D, 28.985020, 80.132423
2017-07-25 00:41:49 +0800, HTU21D, 28.894932, 80.379837
2017-07-25 00:42:19 +0800, HTU21D, 28.845592, 80.457878
2017-07-25 00:42:50 +0800, HTU21D, 28.830578, 80.420540
2017-07-25 00:43:20 +0800, HTU21D, 28.828434, 80.238632
2017-07-25 00:43:50 +0800, HTU21D, 28.843449, 80.062363
2017-07-25 00:44:21 +0800, HTU21D, 28.879917, 79.765701
2017-07-25 00:44:51 +0800, HTU21D, 28.841303, 79.573753
2017-07-25 00:45:21 +0800, HTU21D, 28.774807, 79.559196
2017-07-25 00:45:52 +0800, HTU21D, 28.721186, 79.566422
2017-07-25 00:46:22 +0800, HTU21D, 28.716894, 79.480331
2017-07-25 00:46:52 +0800, HTU21D, 28.684717, 79.318336
2017-07-25 00:47:23 +0800, HTU21D, 28.671848, 79.348450
2017-07-25 00:47:53 +0800, HTU21D, 28.669703, 79.120766
2017-07-25 00:48:23 +0800, HTU21D, 28.646109, 79.021103
2017-07-25 00:48:54 +0800, HTU21D, 28.646107, 78.809006
2017-07-25 00:49:24 +0800, HTU21D, 28.624659, 78.598267
2017-07-25 00:49:54 +0800, HTU21D, 28.605350, 78.485504
2017-07-25 00:50:25 +0800, HTU21D, 28.583902, 78.261032
2017-07-25 00:50:55 +0800, HTU21D, 28.547436, 78.165543
2017-07-25 00:51:25 +0800, HTU21D, 28.525986, 78.098236
2017-07-25 00:51:56 +0800, HTU21D, 28.551723, 77.734360
2017-07-25 00:52:26 +0800, HTU21D, 28.551727, 77.252182
2017-07-25 00:52:56 +0800, HTU21D, 28.545292, 76.942986
2017-07-25 00:53:27 +0800, HTU21D, 28.523840, 76.559830
2017-07-25 00:53:57 +0800, HTU21D, 28.487375, 76.267487
2017-07-25 00:54:27 +0800, HTU21D, 28.455200, 75.914764
2017-07-25 00:54:58 +0800, HTU21D, 28.395142, 75.595993
2017-07-25 00:55:28 +0800, HTU21D, 28.397287, 75.202652
2017-07-25 00:55:58 +0800, HTU21D, 28.395142, 74.562973
2017-07-25 00:56:29 +0800, HTU21D, 28.410152, 74.112045
2017-07-25 00:56:59 +0800, HTU21D, 28.414448, 73.607620
2017-07-25 00:57:29 +0800, HTU21D, 28.420879, 73.326309
2017-07-25 00:58:00 +0800, HTU21D, 28.433750, 74.269699
2017-07-25 00:58:30 +0800, HTU21D, 28.465923, 75.287720
2017-07-25 00:59:00 +0800, HTU21D, 28.556019, 75.771194
2017-07-25 00:59:31 +0800, HTU21D, 28.652542, 76.257164
2017-07-25 01:00:01 +0800, HTU21D, 28.673992, 77.232376
2017-07-25 01:00:31 +0800, HTU21D, 28.729763, 77.530655
2017-07-25 01:01:02 +0800, HTU21D, 28.794113, 78.013329
2017-07-25 01:01:32 +0800, HTU21D, 28.800549, 78.871841
2017-07-25 01:02:02 +0800, HTU21D, 28.830578, 79.334114
2017-07-25 01:02:33 +0800, HTU21D, 28.914234, 79.635056
2017-07-25 01:03:03 +0800, HTU21D, 28.970007, 80.032516
2017-07-25 01:03:33 +0800, HTU21D, 28.970005, 80.809181
2017-07-25 01:04:04 +0800, HTU21D, 28.974295, 80.516861
2017-07-25 01:04:34 +0800, HTU21D, 28.991455, 80.345482
2017-07-25 01:05:05 +0800, HTU21D, 28.987164, 80.189201
2017-07-25 01:05:35 +0800, HTU21D, 28.944265, 80.211754
2017-07-25 01:06:05 +0800, HTU21D, 28.918524, 80.163651
2017-07-25 01:06:36 +0800, HTU21D, 28.871334, 80.167252
2017-07-25 01:07:06 +0800, HTU21D, 28.875626, 80.010727
2017-07-25 01:07:36 +0800, HTU21D, 28.854176, 79.874756
2017-07-25 01:08:07 +0800, HTU21D, 28.828434, 79.701523
2017-07-25 01:08:37 +0800, HTU21D, 28.774807, 79.714844
2017-07-25 01:09:07 +0800, HTU21D, 28.734051, 79.597336
2017-07-25 01:09:38 +0800, HTU21D, 28.701878, 79.623032
2017-07-25 01:10:08 +0800, HTU21D, 28.691153, 79.514610
2017-07-25 01:10:38 +0800, HTU21D, 28.712605, 79.279793
2017-07-25 01:11:09 +0800, HTU21D, 28.686865, 78.996689
2017-07-25 01:11:39 +0800, HTU21D, 28.656834, 78.833496
2017-07-25 01:12:09 +0800, HTU21D, 28.622513, 78.762741
2017-07-25 01:12:40 +0800, HTU21D, 28.607498, 78.604843
2017-07-25 01:13:10 +0800, HTU21D, 28.581757, 78.578094
2017-07-25 01:13:40 +0800, HTU21D, 28.586048, 78.391060
2017-07-25 01:14:11 +0800, HTU21D, 28.571033, 78.201118
2017-07-25 01:14:41 +0800, HTU21D, 28.547436, 77.909187
2017-07-25 01:15:11 +0800, HTU21D, 28.547436, 77.459061
2017-07-25 01:15:42 +0800, HTU21D, 28.500248, 77.168167
2017-07-25 01:16:12 +0800, HTU21D, 28.472361, 76.947311
2017-07-25 01:16:42 +0800, HTU21D, 28.468069, 76.525520
2017-07-25 01:17:13 +0800, HTU21D, 28.463781, 75.996933
2017-07-25 01:17:43 +0800, HTU21D, 28.453054, 75.565018
2017-07-25 01:18:13 +0800, HTU21D, 28.433750, 75.169968
2017-07-25 01:18:44 +0800, HTU21D, 28.410156, 75.022995
2017-07-25 01:19:14 +0800, HTU21D, 28.399429, 74.531578
2017-07-25 01:19:44 +0800, HTU21D, 28.390850, 75.192528
2017-07-25 01:20:15 +0800, HTU21D, 28.390850, 76.347610
2017-07-25 01:20:45 +0800, HTU21D, 28.483088, 76.811584
2017-07-25 01:21:15 +0800, HTU21D, 28.605352, 77.244972
2017-07-25 01:21:46 +0800, HTU21D, 28.712605, 77.607430
2017-07-25 01:22:16 +0800, HTU21D, 28.776953, 78.044327
